Age,Gender,Country,IncomeUSD,YearsVaped,PodsPerWeek,NicotineStrength_mgml,PurchaseChannel,FlavourFamilies,SweetLike,MentholLike,NewFlavourFreq,SmartwatchDaily,MoodMatchInterest,BoredOfFlavoursPain,NicDependencePain,MoodFitPain,PreferredPackSize,MaxMonthlySpendUSD,SubscribeLikelihood
37,Male,AU,3248,1.0,2.4,11.0,Online-direct,"Menthol/Fresh,Spice",1,5,4,0,3,5,2,2,3,51.43,6.0
33,Female,AU,2900,0.1,1.6,8.7,Retail shop,"Menthol/Fresh,Dessert,Tobacco",5,5,2,1,3,1,1,4,3,54.26,9.0
38,Male,DE,2840,10.6,12.5,23.4,Online-direct,Fruity,3,3,2,0,2,1,2,2,15+,102.29,6.0
18,Female,IN,1125,5.2,9.6,23.6,Vape lounge,"Tobacco,Other,Menthol/Fresh",2,5,5,0,5,4,3,5,10,56.41,6.0
47,Female,CA,3526,2.9,3.3,10.8,Online-direct,"Other,Menthol/Fresh,Beverage",3,5,5,0,1,5,1,1,3,82.02,5.0
29,Female,GB,2168,5.3,9.0,19.6,Retail shop,"Fruity,Menthol/Fresh",5,5,4,1,5,5,1,3,10,75.65,5.0
39,Male,FR,3240,5.0,8.4,35.3,Online-direct,"Beverage,Fruity",5,3,2,0,3,1,5,1,10,90.56,10.0
22,Male,PH,1854,8.1,12.6,25.0,Retail shop,"Menthol/Fresh,Tobacco",5,4,3,0,3,3,3,2,15+,87.69,6.0
35,Male,DE,2714,1.5,4.9,19.7,Online-direct,Tobacco,4,1,4,1,4,4,1,4,6,79.43,5.0
22,Male,DE,1638,2.4,4.8,10.0,Online-direct,"Fruity,Other",4,4,4,1,5,5,1,5,6,48.38,6.0
25,Male,IN,1055,0.3,2.1,5.3,Retail shop,"Menthol/Fresh,Other",2,5,4,1,5,3,2,4,3,32.02,8.0
45,Female,US,2352,10.1,14.6,31.9,Online-direct,Fruity,2,3,4,0,2,3,4,1,15+,101.87,4.0
28,Male,PH,2698,12.6,16.3,32.2,Online-direct,"Spice,Fruity",2,2,3,1,3,3,4,4,15+,113.28,8.0
32,Female,AU,2268,4.7,7.0,25.6,Retail shop,Beverage,3,1,3,0,2,2,4,2,6,62.66,9.0
37,Male,FR,2792,1.8,6.2,15.8,Online-direct,"Beverage,Other",4,3,1,0,2,2,3,3,6,69.81,10.0
34,Female,CA,2023,2.1,4.4,20.7,Retail shop,"Tobacco,Other",5,5,2,0,3,3,1,1,6,49.73,9.0
31,Female,CA,1449,1.7,4.7,1.9,Online-direct,Beverage,5,5,3,0,1,3,1,1,6,46.53,5.0
33,Female,SG,2470,1.0,3.1,15.8,Retail shop,Beverage,4,2,2,0,4,1,1,3,3,29.85,10.0
49,Female,US,3401,2.3,6.1,21.3,Retail shop,"Other,Spice,Fruity",4,5,3,0,2,2,1,1,6,86.72,9.0
30,Female,IN,1792,0.2,1.7,8.3,Online-direct,"Tobacco,Beverage",2,2,4,1,5,5,2,5,3,21.06,10.0
32,Female,CA,3097,14.4,17.0,32.3,Online-direct,"Spice,Dessert",5,5,4,1,4,4,4,5,15+,97.14,7.0
38,Male,GB,2666,1.7,3.7,12.8,Online-direct,"Menthol/Fresh,Beverage",4,5,4,0,1,5,1,1,3,36.37,2.0
39,Male,CA,2411,7.9,11.3,20.9,Online-direct,Tobacco,3,1,4,0,2,4,3,1,10,72.36,5.0
39,Male,AE,3471,3.9,7.5,16.2,Online-direct,Beverage,2,2,4,0,4,4,2,4,10,90.64,6.0
35,Male,GB,3281,1.0,2.3,20.2,Other,"Dessert,Fruity",5,1,2,0,1,2,1,2,3,66.12,7.0
21,Male,FR,1206,0.8,4.4,12.1,Friends,"Tobacco,Fruity,Menthol/Fresh",3,5,4,1,4,5,1,5,6,52.29,5.0
43,Male,SG,3383,16.3,17.1,24.2,Online-direct,"Spice,Fruity",5,1,4,1,4,4,3,3,15+,110.28,10.0
21,Male,CA,1183,4.4,10.7,16.4,Online-direct,"Beverage,Spice,Dessert",4,4,4,0,3,5,2,2,10,63.25,4.0
32,Male,AU,1683,0.9,3.1,11.3,Friends,Fruity,1,4,4,0,1,3,1,1,3,58.4,1.0
24,Male,GB,1861,0.2,4.8,15.8,Retail shop,"Dessert,Spice",5,3,5,1,5,5,1,5,6,36.05,6.0
29,Female,SG,1635,3.6,6.9,20.1,Online-direct,Tobacco,1,3,4,0,2,5,1,1,6,37.71,4.0
33,Male,DE,2611,1.1,4.5,10.7,Online-direct,"Tobacco,Beverage",1,5,5,0,2,4,1,3,6,53.2,6.0
33,Female,AE,2376,0.8,2.1,14.0,Retail shop,Beverage,4,2,4,0,2,5,2,3,3,31.93,6.0
33,Male,AE,2798,4.0,8.3,21.4,Online-direct,"Beverage,Dessert",4,4,3,0,1,4,1,1,10,86.41,4.0
43,Female,FR,2792,3.4,6.5,11.8,Online-direct,"Menthol/Fresh,Other",4,5,4,1,5,5,2,4,6,65.96,6.0
34,Female,GB,2007,2.0,5.7,16.0,Online-direct,"Menthol/Fresh,Tobacco",4,5,5,1,3,5,2,4,6,60.88,6.0
28,Female,AU,1273,8.6,11.5,21.1,Online-direct,Tobacco,2,3,4,0,2,4,3,1,10,76.43,3.0
38,Female,US,2982,3.4,6.6,17.0,Online-direct,Other,3,2,5,1,5,4,1,5,6,55.7,6.0
40,Male,AU,3046,6.7,8.4,15.8,Online-direct,Menthol/Fresh,1,5,1,0,2,1,3,1,10,90.82,7.0
20,Prefer not to say,SG,1549,0.6,3.4,12.7,Friends,"Spice,Beverage",3,5,3,1,5,3,1,5,3,36.25,6.0
35,Female,CA,2538,1.1,3.5,13.7,Retail shop,Fruity,2,5,3,0,3,3,2,1,3,50.13,9.0
36,Female,PH,3523,0.3,2.2,21.5,Online-direct,Other,1,3,3,0,5,3,1,5,3,47.21,8.0
28,Female,FR,1513,1.1,4.3,14.5,Online-direct,"Spice,Other",3,3,1,1,3,1,1,1,6,38.86,7.0
41,Male,PH,3459,10.7,14.2,30.9,Retail shop,Menthol/Fresh,1,5,5,1,4,4,4,5,15+,113.13,7.0
29,Female,GB,1783,9.9,13.3,30.4,Online-direct,"Fruity,Menthol/Fresh",4,5,4,0,1,4,4,1,15+,92.55,5.0
31,Male,US,2213,4.3,7.1,10.5,Online-direct,Fruity,2,3,2,0,3,1,2,1,10,70.24,10.0
29,Male,AE,2177,2.2,5.8,14.3,Retail shop,"Beverage,Spice,Tobacco",4,3,2,1,5,1,2,5,6,73.43,10.0
30,Male,AE,1927,4.6,8.0,25.1,Online-direct,"Menthol/Fresh,Other",5,5,4,1,5,5,4,5,10,88.69,7.0
21,Female,DE,1153,2.4,5.5,16.4,Online-direct,"Spice,Other",5,5,5,1,4,5,3,4,6,73.7,2.0
18,Male,SG,1587,0.1,3.3,12.7,Vape lounge,"Beverage,Dessert,Menthol/Fresh",5,4,2,0,3,2,2,3,3,25.33,5.0
43,Male,SG,3390,2.1,6.9,20.7,Online-direct,"Fruity,Beverage,Dessert",5,4,3,1,3,2,1,4,6,69.72,10.0
23,Male,AU,2245,2.7,3.9,19.2,Retail shop,Menthol/Fresh,3,5,3,0,4,2,2,2,3,46.11,9.0
22,Female,SG,972,0.9,3.4,13.3,Online-direct,Menthol/Fresh,3,5,2,1,3,2,1,4,3,39.91,8.0
18,Female,AU,1049,0.7,4.2,12.8,Other,Spice,3,3,4,0,2,4,1,1,6,40.98,7.0
25,Male,AU,1666,1.0,1.6,0.0,Retail shop,Spice,4,5,4,0,3,3,1,2,3,16.98,8.0
19,Male,CA,1064,2.9,8.0,18.2,Other,"Spice,Tobacco",4,3,5,1,3,5,3,3,10,56.19,2.0
43,Female,FR,3538,0.5,3.9,12.0,Retail shop,"Dessert,Beverage",5,4,4,1,5,3,2,4,3,69.73,10.0
38,Prefer not to say,PH,2962,3.8,8.2,13.2,Online-direct,"Spice,Fruity,Menthol/Fresh",4,5,2,0,3,2,1,1,10,81.83,6.0
24,Female,CA,499,1.6,6.3,15.3,Friends,"Beverage,Tobacco",5,3,3,1,5,4,1,3,6,50.19,8.0
48,Male,US,3664,1.3,4.9,12.8,Retail shop,"Spice,Menthol/Fresh",4,5,3,0,5,3,2,5,6,66.88,9.0
38,Female,US,1510,4.9,4.6,15.4,Retail shop,Other,5,4,3,0,1,3,2,2,6,43.83,7.0
27,Male,US,1052,2.1,5.3,13.9,Online-direct,"Dessert,Spice",5,4,4,0,2,4,1,3,6,61.08,3.0
18,Male,AE,2413,1.4,4.7,16.9,Online-direct,"Spice,Other",4,1,3,1,4,2,2,2,6,56.15,8.0
48,Male,AE,3137,6.3,7.7,18.6,Online-direct,"Spice,Beverage",5,5,5,1,4,5,2,4,10,99.78,6.0
19,Male,FR,1829,1.4,1.7,18.1,Online-direct,"Fruity,Spice",4,2,2,0,1,1,2,1,3,36.35,5.0
18,Female,US,1183,5.9,9.6,16.9,Vape lounge,Spice,2,3,3,0,4,3,2,3,10,90.84,5.0
38,Male,GB,3176,2.1,3.2,22.1,Online-direct,Tobacco,1,4,2,0,2,2,1,1,3,55.81,10.0
50,Male,GB,3315,0.7,6.8,22.1,Online-direct,Beverage,3,3,3,0,3,4,3,2,6,83.42,10.0
41,Male,DE,3724,2.8,6.2,23.6,Vape lounge,"Menthol/Fresh,Fruity",5,4,3,1,3,3,3,2,6,68.09,9.0
35,Male,CA,2211,1.0,6.0,17.3,Online-direct,Menthol/Fresh,1,5,4,1,4,3,3,4,6,59.96,9.0
35,Male,PH,1496,0.5,3.5,12.1,Online-direct,Menthol/Fresh,2,4,3,0,3,3,1,2,3,33.0,6.0
37,Male,AE,3007,0.3,4.4,11.7,Online-direct,"Dessert,Other,Menthol/Fresh",4,4,4,0,2,5,1,1,6,68.16,5.0
36,Male,SG,3298,0.8,3.9,22.7,Retail shop,Other,1,2,4,1,5,4,1,4,3,58.66,10.0
32,Female,PH,1319,4.0,8.5,24.0,Online-direct,Tobacco,5,4,5,0,4,5,2,2,10,68.97,6.0
31,Female,IN,1702,5.5,5.4,10.4,Other,"Dessert,Other",4,5,2,0,3,3,1,3,6,63.04,8.0
29,Female,FR,2034,5.9,10.2,25.1,Retail shop,"Dessert,Other,Fruity",5,5,2,0,5,1,3,5,10,75.67,9.0
24,Male,FR,1956,0.9,4.9,10.8,Retail shop,Menthol/Fresh,2,5,4,1,4,3,1,4,6,55.11,8.0
28,Female,US,1918,3.2,6.0,17.6,Friends,"Other,Fruity,Beverage",3,4,4,1,4,5,2,3,6,56.08,3.0
18,Female,GB,2225,0.8,3.2,17.3,Online-direct,Other,2,4,3,0,1,2,1,1,3,32.33,6.0
29,Female,US,1818,2.9,5.5,22.8,Retail shop,Beverage,1,4,3,1,4,2,1,2,6,44.58,8.0
22,Female,PH,1462,6.5,9.9,21.1,Online-direct,"Other,Spice",4,5,4,0,1,5,2,2,10,57.45,5.0
21,Male,GB,2040,0.1,4.9,14.2,Online-direct,"Beverage,Fruity",3,3,2,0,2,3,1,3,6,62.68,5.0
31,Prefer not to say,US,1874,12.6,14.8,25.0,Friends,"Spice,Menthol/Fresh,Beverage",3,4,4,0,3,4,1,3,15+,105.79,7.0
41,Male,PH,3755,5.3,5.7,21.0,Retail shop,Dessert,4,3,3,0,2,2,1,1,6,60.66,7.0
37,Male,IN,3434,4.3,11.0,24.9,Vape lounge,"Beverage,Tobacco",4,1,3,1,3,3,3,2,10,94.9,9.0
18,Male,DE,1293,3.5,7.5,17.4,Other,Dessert,5,5,4,0,2,5,2,3,10,70.04,1.0
22,Male,CA,1897,4.4,6.8,7.5,Online-direct,"Dessert,Other,Beverage",4,4,4,1,5,3,1,4,6,41.02,8.0
38,Non-binary/Other,DE,2684,15.7,20.0,17.8,Vape lounge,Other,3,2,4,0,2,5,1,1,15+,105.84,6.0
22,Male,IN,2445,4.4,8.8,19.9,Retail shop,"Dessert,Spice",5,3,5,1,4,5,1,4,10,70.31,8.0
28,Male,DE,2189,1.3,5.0,9.1,Other,Tobacco,5,5,5,0,3,5,1,4,6,60.65,9.0
34,Female,SG,2864,2.9,5.2,12.6,Online-direct,"Fruity,Tobacco,Menthol/Fresh",3,5,3,0,3,2,1,3,6,69.49,10.0
22,Male,AE,1540,1.2,5.2,14.1,Online-direct,Spice,5,3,2,0,4,2,1,3,6,43.52,10.0
31,Male,AE,2379,10.5,15.1,35.5,Online-direct,Spice,5,2,1,0,1,1,4,1,15+,100.13,5.0
19,Female,SG,1610,6.9,7.3,17.9,Online-direct,"Dessert,Tobacco",4,1,4,0,4,4,1,4,10,74.27,4.0
25,Female,AE,1661,2.5,5.8,19.4,Online-direct,"Beverage,Menthol/Fresh,Tobacco",3,5,2,0,2,2,3,3,6,43.85,4.0
33,Male,PH,2696,4.6,8.0,20.5,Online-direct,"Dessert,Beverage,Other",5,4,3,0,2,3,2,2,10,88.09,5.0
18,Female,AE,2398,7.2,10.6,8.5,Online-direct,Menthol/Fresh,4,4,4,0,3,3,1,4,10,87.73,6.0
34,Male,FR,1868,0.8,3.9,11.9,Online-direct,Other,4,1,5,0,3,5,2,2,3,39.53,6.0
30,Male,FR,2357,2.6,7.4,11.3,Online-direct,"Other,Tobacco,Dessert",5,3,3,1,4,2,1,2,10,73.95,7.0
34,Male,GB,2449,2.0,4.7,23.3,Online-direct,Menthol/Fresh,5,5,1,1,4,2,1,4,6,48.61,9.0
32,Male,AU,2902,4.4,7.4,8.3,Online-direct,"Spice,Beverage",3,5,1,0,2,1,1,1,10,85.12,10.0
41,Female,IN,2877,1.4,4.9,12.8,Online-direct,"Tobacco,Other",1,5,3,1,3,2,2,2,6,81.41,10.0
31,Female,FR,2680,3.7,6.4,15.1,Online-direct,"Other,Menthol/Fresh",5,5,5,1,5,5,2,5,6,58.24,10.0
27,Male,CA,1733,1.5,2.4,7.5,Online-direct,"Other,Tobacco",4,5,2,1,5,2,1,5,3,33.86,9.0
31,Male,GB,2477,0.4,3.7,14.2,Online-direct,"Beverage,Other",4,3,4,0,4,4,1,3,3,43.66,10.0
34,Female,SG,2156,0.3,3.6,13.4,Online-direct,"Tobacco,Dessert",5,2,2,0,4,3,1,5,3,32.57,10.0
30,Male,IN,2241,0.4,2.9,13.7,Vape lounge,"Other,Dessert",5,2,3,1,3,3,1,4,3,27.67,9.0
30,Male,IN,2067,0.1,2.9,15.4,Retail shop,"Other,Beverage",3,2,2,0,2,2,3,1,3,45.13,7.0
24,Non-binary/Other,SG,945,2.3,1.0,12.2,Other,"Dessert,Menthol/Fresh",5,5,3,1,4,3,1,3,3,31.16,6.0
25,Female,AU,1337,3.3,8.1,20.0,Online-direct,"Fruity,Spice",3,5,2,0,5,2,2,3,10,51.17,10.0
19,Prefer not to say,DE,371,0.4,4.8,20.4,Online-direct,"Tobacco,Menthol/Fresh",1,4,1,1,3,1,1,2,6,29.52,7.0
44,Male,DE,3356,2.8,3.8,5.6,Other,"Beverage,Fruity",3,3,4,1,3,4,2,2,3,45.83,4.0
20,Female,US,1754,2.7,4.7,18.2,Online-direct,"Spice,Beverage,Fruity",5,3,2,1,5,3,1,4,6,68.44,7.0
24,Male,US,774,0.5,5.7,10.5,Online-direct,Menthol/Fresh,1,5,2,1,3,2,1,2,6,19.92,8.0
24,Male,GB,814,1.6,2.9,9.7,Vape lounge,"Fruity,Dessert",5,3,3,1,4,2,2,5,3,31.42,5.0
37,Male,US,1210,4.2,7.9,18.5,Online-direct,"Menthol/Fresh,Tobacco,Beverage",3,4,4,0,3,4,3,2,10,60.24,4.0
28,Male,US,2087,0.1,2.4,14.5,Retail shop,Dessert,5,5,3,1,4,2,1,2,3,34.6,8.0
40,Male,SG,1889,0.5,4.1,16.7,Online-direct,"Other,Tobacco",3,5,4,0,1,3,1,2,6,38.37,1.0
25,Male,DE,1188,16.4,19.5,24.8,Online-direct,Fruity,4,2,3,0,2,2,1,2,15+,91.72,7.0
32,Male,US,2974,4.0,6.6,24.8,Online-direct,Dessert,4,2,3,1,5,2,1,3,6,46.85,8.0
23,Female,FR,1262,1.9,5.5,13.4,Online-direct,"Other,Tobacco",2,3,4,0,1,4,2,1,6,56.67,5.0
47,Male,CA,3641,3.0,5.3,11.7,Vape lounge,"Menthol/Fresh,Fruity,Tobacco",1,5,4,0,4,3,1,2,6,84.21,5.0
20,Male,FR,1742,5.6,5.9,9.5,Retail shop,Fruity,5,2,3,0,4,2,1,4,6,60.16,10.0
32,Male,AU,1652,5.5,7.1,10.2,Online-direct,Tobacco,4,3,3,0,3,4,1,1,10,50.64,6.0
35,Male,FR,2765,1.2,2.6,5.6,Retail shop,Beverage,3,5,4,0,4,5,1,4,3,51.69,8.0
33,Female,GB,2874,2.0,2.6,14.2,Retail shop,Menthol/Fresh,5,4,3,0,1,2,2,1,3,55.21,6.0
29,Male,US,1688,3.0,6.6,19.6,Retail shop,"Dessert,Tobacco",5,1,3,0,2,3,2,3,6,46.22,3.0
29,Female,US,2192,0.2,2.9,8.6,Online-direct,Fruity,2,5,4,0,3,4,1,1,3,48.12,7.0
30,Male,SG,1842,8.7,12.2,16.5,Vape lounge,"Menthol/Fresh,Dessert,Fruity",5,5,5,0,4,5,3,3,15+,116.98,7.0
29,Male,PH,770,1.7,5.5,14.4,Friends,Menthol/Fresh,3,5,5,0,4,5,1,2,6,45.27,8.0
38,Female,AU,3604,1.4,5.5,16.0,Online-direct,"Fruity,Spice",3,1,4,0,1,4,2,1,6,55.52,3.0
48,Female,FR,3006,7.1,10.7,22.0,Friends,"Spice,Menthol/Fresh",3,5,3,0,2,3,1,1,10,78.84,7.0
26,Male,PH,2375,0.4,1.9,7.1,Retail shop,"Other,Dessert,Spice",5,3,4,0,3,5,1,1,3,34.84,3.0
19,Female,IN,1542,0.1,4.0,13.2,Vape lounge,"Fruity,Menthol/Fresh",3,4,4,1,4,5,2,4,3,48.77,2.0
29,Male,CA,1894,3.5,6.8,24.6,Online-direct,"Other,Tobacco",1,3,2,0,3,3,3,4,6,63.37,4.0
51,Female,CA,4558,1.5,7.8,11.8,Retail shop,"Spice,Dessert",5,5,4,0,3,5,1,1,10,82.34,4.0
24,Female,DE,1096,4.3,7.3,17.2,Online-direct,Other,5,5,4,1,3,4,2,4,10,74.79,4.0
43,Female,US,2960,0.2,3.8,16.3,Retail shop,Spice,4,4,3,0,4,3,2,4,3,42.38,10.0
43,Prefer not to say,DE,3027,1.5,4.4,9.6,Retail shop,"Tobacco,Other",3,5,5,0,3,4,2,1,6,81.44,6.0
26,Male,SG,1566,0.8,3.9,17.0,Online-direct,"Beverage,Fruity",2,3,2,0,2,2,1,2,3,43.7,5.0
35,Female,AU,2274,4.0,7.0,10.3,Retail shop,Fruity,4,1,5,1,5,4,1,5,6,45.62,10.0
43,Male,AU,3423,0.8,3.1,16.3,Retail shop,"Fruity,Menthol/Fresh",4,4,3,0,2,4,2,1,3,54.72,6.0
27,Male,IN,2109,1.8,5.1,15.3,Retail shop,"Dessert,Other",5,3,4,1,4,3,3,4,6,56.5,9.0
28,Male,GB,2206,5.1,9.0,11.9,Vape lounge,"Beverage,Spice,Other",5,4,2,1,4,1,1,2,10,70.48,9.0
25,Male,AU,1146,7.4,9.8,23.2,Vape lounge,"Beverage,Tobacco",4,2,4,1,3,3,2,1,10,83.69,5.0
22,Female,AU,1204,3.8,8.1,13.6,Online-direct,"Fruity,Menthol/Fresh",4,4,1,0,3,2,2,4,10,63.02,5.0
25,Male,AU,1732,1.7,5.8,15.0,Other,Dessert,5,4,3,0,1,3,3,1,6,58.67,4.0
20,Male,CA,1837,2.5,4.2,17.4,Retail shop,Menthol/Fresh,3,4,4,1,4,3,3,5,6,42.05,6.0
30,Male,GB,1425,3.5,5.1,10.3,Online-direct,Fruity,2,3,3,1,4,3,1,3,6,57.13,6.0
24,Male,GB,1311,6.2,9.9,17.3,Online-direct,"Fruity,Dessert",5,1,4,1,3,5,1,3,10,61.72,3.0
32,Female,AE,2310,6.6,8.7,24.3,Other,"Tobacco,Spice",4,4,4,1,4,4,3,4,10,81.64,7.0
18,Male,FR,1178,8.0,9.4,9.1,Retail shop,"Other,Beverage",3,5,4,0,3,3,2,4,10,76.34,8.0
33,Female,SG,1443,5.0,10.6,27.7,Online-direct,"Tobacco,Fruity,Spice",2,5,4,0,3,4,3,3,10,64.58,9.0
37,Female,US,1938,0.5,2.1,4.8,Online-direct,Other,5,1,4,0,1,5,1,1,3,58.03,1.0
18,Female,AU,1282,4.1,4.8,11.3,Online-direct,Tobacco,3,4,2,1,4,3,1,2,6,48.65,7.0
33,Male,AU,1795,5.1,6.9,18.3,Other,Beverage,2,2,2,1,3,2,2,4,6,45.11,7.0
40,Female,AE,2825,6.3,9.6,22.6,Online-direct,"Beverage,Fruity,Other",2,1,4,0,3,3,2,2,10,76.93,7.0
20,Male,US,1339,7.8,10.9,22.4,Online-direct,"Beverage,Dessert",5,4,5,0,4,4,2,2,10,72.92,4.0
43,Female,GB,3053,2.1,7.9,18.1,Retail shop,Spice,2,4,4,1,4,4,2,2,10,83.49,6.0
33,Male,IN,1414,3.2,5.0,12.8,Online-direct,Dessert,5,1,4,0,3,3,1,1,6,58.58,9.0
24,Male,CA,1742,0.1,3.5,21.3,Online-direct,Menthol/Fresh,4,5,4,1,3,5,3,2,3,47.37,6.0
30,Male,AU,1788,2.6,7.3,21.2,Retail shop,"Tobacco,Fruity,Beverage",3,3,4,0,3,5,3,2,10,63.31,1.0
34,Female,SG,1991,1.9,3.9,19.8,Friends,Menthol/Fresh,3,5,2,1,4,3,1,5,3,46.9,8.0
31,Male,SG,2776,9.8,13.9,21.8,Online-direct,"Dessert,Beverage",5,3,4,0,3,3,2,2,15+,109.9,9.0
34,Male,AU,1652,7.0,7.3,5.7,Vape lounge,Tobacco,5,5,4,1,4,3,2,3,10,61.72,8.0
23,Male,SG,1659,4.8,10.4,25.5,Online-direct,"Dessert,Spice",5,3,5,0,5,4,3,5,10,77.72,5.0
31,Female,IN,2281,0.2,4.7,16.5,Online-direct,"Spice,Fruity,Beverage",3,3,2,1,5,1,3,5,6,59.71,10.0
19,Female,SG,690,1.5,3.5,14.4,Online-direct,Menthol/Fresh,3,4,3,1,3,2,2,4,3,15.0,8.0
29,Male,PH,1764,3.6,7.8,15.0,Online-direct,Fruity,3,4,2,1,4,3,1,4,10,73.51,9.0
23,Female,US,2249,0.1,5.1,13.4,Online-direct,Beverage,3,4,5,1,4,5,1,3,6,50.55,3.0
24,Male,AE,1759,0.8,1.9,8.9,Online-direct,Beverage,3,3,4,0,2,3,2,3,3,16.07,4.0
40,Male,AE,1799,6.6,8.7,18.9,Online-direct,"Beverage,Other",3,3,4,1,3,3,2,1,10,62.84,6.0
39,Female,DE,2366,0.4,5.4,9.7,Retail shop,Beverage,5,4,4,0,1,4,1,2,6,40.51,2.0
35,Male,CA,2425,0.2,3.3,17.1,Retail shop,"Fruity,Tobacco",3,3,2,0,5,3,3,3,3,17.78,10.0
21,Male,US,639,2.6,6.3,26.5,Retail shop,"Other,Tobacco",4,3,3,0,5,4,3,3,6,58.48,6.0
27,Male,AU,2576,8.8,11.9,18.9,Online-direct,Fruity,3,1,4,0,2,4,2,2,10,82.62,4.0
40,Male,PH,3853,5.4,9.7,11.7,Online-direct,"Spice,Tobacco",4,5,3,0,5,3,1,5,10,80.72,8.0
31,Male,IN,3279,11.0,14.8,24.3,Online-direct,"Menthol/Fresh,Other",3,5,4,0,4,4,2,5,15+,120.09,3.0
49,Male,DE,3111,4.2,7.4,19.0,Online-direct,Spice,2,3,3,0,3,4,2,4,10,77.9,2.0
33,Male,CA,2009,1.7,1.5,13.8,Retail shop,Fruity,5,4,4,1,5,5,1,5,3,39.88,10.0
32,Male,CA,2661,8.8,12.8,30.8,Online-direct,"Menthol/Fresh,Fruity",4,5,3,0,1,4,4,1,15+,104.85,5.0
28,Male,FR,2084,1.7,5.8,19.9,Friends,Menthol/Fresh,3,5,5,1,4,4,2,4,6,57.23,10.0
31,Male,US,2146,1.3,2.4,3.3,Online-direct,"Dessert,Spice",5,5,3,0,2,4,1,2,3,40.44,9.0
29,Male,PH,1307,1.8,3.0,6.8,Online-direct,"Spice,Other",5,3,3,0,4,4,1,4,3,42.01,4.0
36,Female,GB,2901,5.0,8.8,20.8,Online-direct,Fruity,3,5,2,1,4,1,2,5,10,86.14,10.0
38,Male,IN,2996,7.5,10.8,18.5,Online-direct,"Other,Beverage",3,4,2,0,3,1,3,1,10,72.12,6.0
24,Female,DE,1037,1.3,1.3,18.9,Retail shop,"Spice,Menthol/Fresh,Dessert",5,5,4,0,4,4,1,4,3,43.79,5.0
19,Female,AU,1677,1.9,3.7,9.0,Online-direct,Fruity,3,3,4,0,3,3,1,3,3,49.0,7.0
18,Female,AE,1290,6.9,10.4,25.2,Retail shop,Menthol/Fresh,1,4,5,1,5,5,3,5,10,71.41,8.0
34,Male,DE,3037,0.1,4.1,10.9,Online-direct,Beverage,3,3,4,1,4,5,1,5,6,77.35,6.0
21,Male,SG,1042,4.6,6.7,18.0,Vape lounge,"Menthol/Fresh,Spice",5,5,4,0,1,4,2,1,6,42.58,3.0
18,Male,CA,2389,1.8,4.6,10.5,Online-direct,"Dessert,Spice",5,1,4,0,4,3,1,2,6,44.89,9.0
33,Female,AU,2124,1.4,3.1,15.9,Online-direct,Tobacco,5,1,5,1,5,5,3,5,3,38.22,7.0
50,Male,IN,4120,1.8,6.8,22.2,Online-direct,Spice,2,2,3,0,5,4,2,3,6,90.1,8.0
30,Female,PH,2441,1.6,4.9,16.2,Online-direct,"Tobacco,Spice",2,3,4,0,4,5,3,4,6,39.25,6.0
37,Female,GB,2508,4.2,6.2,25.7,Retail shop,"Dessert,Other",4,5,5,0,3,5,4,1,6,54.19,7.0
31,Male,SG,2091,7.9,9.2,15.6,Retail shop,"Fruity,Spice",5,4,1,0,2,1,1,1,10,80.11,10.0
29,Male,AU,2303,2.0,3.1,13.6,Retail shop,"Other,Tobacco",2,3,3,0,3,3,1,4,3,33.1,7.0
37,Female,AU,2387,5.4,11.1,25.3,Online-direct,Fruity,4,4,4,0,2,3,2,3,10,86.59,5.0
28,Male,CA,1630,3.9,6.6,11.9,Other,Menthol/Fresh,4,5,3,1,5,3,1,5,6,48.19,5.0
32,Male,US,1469,1.2,3.6,13.9,Online-direct,Dessert,5,3,2,1,4,2,1,3,3,16.79,9.0
33,Female,SG,2268,2.7,5.4,18.7,Online-direct,"Fruity,Dessert",5,2,4,0,3,3,1,4,6,53.55,9.0
25,Male,CA,953,3.3,5.4,20.0,Other,"Fruity,Menthol/Fresh",3,5,4,0,5,5,2,3,6,46.33,8.0
38,Female,DE,2437,0.1,2.9,18.6,Other,"Menthol/Fresh,Beverage",1,5,3,1,3,4,3,4,3,35.4,10.0
29,Female,SG,2939,1.5,4.6,10.3,Retail shop,"Tobacco,Beverage",4,3,3,0,3,3,1,2,6,47.86,3.0
24,Female,GB,1629,14.7,17.7,29.1,Online-direct,"Tobacco,Menthol/Fresh",3,5,2,0,4,2,4,3,15+,96.52,10.0
34,Male,AE,1770,3.0,4.1,7.5,Online-direct,Fruity,1,4,4,1,4,3,2,2,6,52.31,6.0
23,Male,DE,2360,1.2,5.5,11.9,Online-direct,Other,2,2,4,1,3,4,1,1,6,63.9,4.0
30,Male,GB,2263,0.9,3.1,12.2,Retail shop,"Spice,Dessert,Menthol/Fresh",4,5,4,1,4,5,2,4,3,58.72,7.0
30,Male,PH,3277,0.7,2.7,18.4,Online-direct,"Menthol/Fresh,Fruity",3,4,1,1,5,1,2,4,3,40.76,10.0
39,Male,CA,1533,1.5,3.4,16.0,Retail shop,"Other,Spice",5,1,2,1,5,1,2,3,3,15.89,8.0
34,Male,GB,2659,0.6,2.0,12.2,Online-direct,Menthol/Fresh,3,5,2,1,3,3,2,1,3,48.12,6.0
